Throughput, wifiratio, wigiratio
2003.7,27.1,72.9
2002.0,49.3,50.7
1860.4,0.0,100.0
2030.2,19.4,80.6
2013.4,0.0,100.0
1960.2,14.8,85.2
2017.3,65.5,34.5
2001.1,20.1,79.9
2000.2,27.7,72.3
2011.9,15.7,84.3
1978.4,20.7,79.3
1920.4,0.0,100.0
1952.1,0.0,100.0
1950.1,16.3,83.7
1629.4,27.4,72.6
1974.7,13.8,86.2
2017.7,23.6,76.4
2037.8,23.9,76.1
2032.3,32.2,67.8
2014.6,28.3,71.7
2048.3,50.0,50.0
1971.9,2.4,97.6
2029.4,30.8,69.2
2062.9,43.2,56.8
2075.0,19.9,80.1
2014.3,18.3,81.7
2030.5,23.0,77.0
1989.3,24.2,75.8
1975.2,49.3,50.7
2016.3,8.2,91.8
2084.1,32.1,67.9
2060.2,22.3,77.7
1857.8,21.6,78.4
2016.8,22.3,77.7
2006.0,23.1,76.9
1998.3,26.7,73.3
2057.0,22.1,77.9
1956.5,20.0,80.0
1977.8,12.9,87.1
2013.0,20.5,79.5
1997.2,20.0,80.0
2026.0,55.5,44.5
2075.6,2.7,97.3
1925.0,28.4,71.6
1991.8,16.4,83.6
2001.6,23.0,77.0
2019.6,11.4,88.6
2063.1,18.1,81.9
1718.8,18.2,81.8
2029.5,0.0,100.0
2029.4,15.7,84.3
1995.3,16.8,83.2
1909.3,25.9,74.1
2037.7,34.4,65.6
2056.6,27.5,72.5
2024.8,33.4,66.6
2053.8,24.9,75.1
2064.8,25.6,74.4
2056.9,21.7,78.3
2059.8,21.8,78.2
2076.6,15.0,85.0
2052.7,23.1,76.9
2052.2,28.7,71.3
2013.3,19.1,80.9
2042.1,18.0,82.0
2039.6,0.0,100.0
2042.7,21.6,78.4
2023.5,32.3,67.7
2051.5,0.0,100.0
2006.2,26.3,73.7
2010.4,42.6,57.4
2042.0,37.3,62.7
2002.9,50.0,50.0
2031.1,7.4,92.6
2066.0,26.9,73.1
2066.5,15.1,84.9
2043.8,19.6,80.4
2013.8,22.9,77.1
2024.8,17.2,82.8
2022.7,28.1,71.9
2027.9,24.4,75.6
1987.8,21.1,78.9
2057.5,27.6,72.4
2060.9,23.6,76.4
2053.8,30.2,69.8
2045.7,21.6,78.4
2024.3,0.0,100.0
1867.7,34.6,65.4
1988.8,26.3,73.7
2014.0,23.3,76.7
2032.1,35.2,64.8
2020.6,22.5,77.5
2053.7,33.1,66.9
2029.3,22.0,78.0
2051.8,22.4,77.6
2037.4,24.9,75.1
2033.6,7.2,92.8
1996.8,21.5,78.5
2056.1,27.4,72.6
2066.5,21.7,78.3
2072.0,30.6,69.4
2039.1,23.1,76.9
2070.7,0.0,100.0
2035.6,20.8,79.2
2030.2,33.6,66.4
2060.1,0.0,100.0
2028.2,0.0,100.0
2022.3,26.2,73.8
2059.5,27.6,72.4
2045.1,28.9,71.1
2061.9,29.5,70.5
2075.8,22.8,77.2
2061.7,23.3,76.7
2032.2,21.8,78.2
2062.9,27.7,72.3
2070.5,23.2,76.8
2060.5,21.6,78.4
2058.0,24.8,75.2
2051.0,22.6,77.4
2059.4,7.5,92.5
2058.3,13.7,86.3
2047.9,23.6,76.4
2059.3,26.3,73.7
2043.5,18.5,81.5
2051.8,43.6,56.4
2019.0,0.0,100.0
2054.0,23.9,76.1
2040.8,0.0,100.0
2002.0,18.5,81.5
2064.4,23.4,76.6
2071.5,20.7,79.3
2050.7,26.1,73.9
2064.6,12.2,87.8
2047.4,30.6,69.4
2036.6,29.6,70.4
2045.1,30.8,69.2
2045.4,28.9,71.1
2036.4,25.6,74.4
2047.9,21.7,78.3
1989.9,26.4,73.6
2062.9,12.5,87.5
2087.5,20.4,79.6
1998.3,21.7,78.3
1991.1,18.4,81.6
1995.9,14.3,85.7
1997.1,20.2,79.8
2048.4,21.6,78.4
2043.9,22.6,77.4
1846.5,19.9,80.1
1986.4,22.2,77.8
2006.4,25.2,74.8
2055.6,42.4,57.6
1762.0,20.5,79.5
1991.7,18.0,82.0
1988.1,21.4,78.6
2048.8,4.7,95.3
2024.0,24.2,75.8
2044.8,21.4,78.6
2013.6,29.6,70.4
2016.4,17.9,82.1
2007.9,24.7,75.3
1992.4,0.0,100.0
1959.3,16.8,83.2
2023.9,22.6,77.4
2014.5,20.7,79.3
2012.3,15.7,84.3
2011.8,47.6,52.4
2057.6,24.3,75.7
2024.0,0.0,100.0
2069.3,0.0,100.0
2087.2,15.0,85.0
2049.1,17.8,82.2
2039.3,24.8,75.2
2037.0,32.2,67.8
1826.2,25.3,74.7
1767.9,27.9,72.1
1798.2,21.6,78.4
1963.1,20.2,79.8
2013.3,0.0,100.0
2044.1,19.4,80.6
2040.8,23.8,76.2
1979.5,23.7,76.3
1945.3,24.9,75.1
2001.2,23.4,76.6
2012.5,26.6,73.4
1849.8,13.8,86.2
1913.5,17.9,82.1
1943.1,23.7,76.3
1938.9,30.5,69.5
1960.0,23.5,76.5
1881.9,15.8,84.2
1912.5,20.0,80.0
1942.0,13.7,86.3
1941.7,59.9,40.1
1953.0,10.5,89.5
1971.3,25.9,74.1
2027.7,18.1,81.9
2057.5,20.3,79.7
2048.3,20.2,79.8
1964.9,16.2,83.8
2009.2,24.0,76.0
2008.4,42.8,57.2
2022.0,22.4,77.6
2042.4,23.5,76.5
2072.7,24.7,75.3
2038.2,24.3,75.7
2046.6,0.0,100.0
1945.7,16.0,84.0
