Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705195352,192.168.10.231,51368,192.168.10.245,5001,1,0.0-1.0,33648684,269189472
20220705195353,192.168.10.231,51368,192.168.10.245,5001,1,1.0-2.0,40271000,322168000
20220705195354,192.168.10.231,51368,192.168.10.245,5001,1,2.0-3.0,50377368,403018944
20220705195355,192.168.10.231,51368,192.168.10.245,5001,1,3.0-4.0,49437616,395500928
20220705195356,192.168.10.231,51368,192.168.10.245,5001,1,4.0-5.0,49181320,393450560
20220705195357,192.168.10.231,51368,192.168.10.245,5001,1,5.0-6.0,53061960,424495680
20220705195358,192.168.10.231,51368,192.168.10.245,5001,1,6.0-7.0,53832296,430658368
20220705195359,192.168.10.231,51368,192.168.10.245,5001,1,7.0-8.0,54840104,438720832
20220705195400,192.168.10.231,51368,192.168.10.245,5001,1,8.0-9.0,55387448,443099584
20220705195401,192.168.10.231,51368,192.168.10.245,5001,1,9.0-10.0,55093504,440748032
20220705195402,192.168.10.231,51368,192.168.10.245,5001,1,10.0-11.0,58836584,470692672
20220705195403,192.168.10.231,51368,192.168.10.245,5001,1,11.0-12.0,56877440,455019520
20220705195404,192.168.10.231,51368,192.168.10.245,5001,1,12.0-13.0,52306104,418448832
20220705195405,192.168.10.231,51368,192.168.10.245,5001,1,13.0-14.0,54502720,436021760
20220705195406,192.168.10.231,51368,192.168.10.245,5001,1,14.0-15.0,54722816,437782528
20220705195407,192.168.10.231,51368,192.168.10.245,5001,1,15.0-16.0,55251336,442010688
20220705195408,192.168.10.231,51368,192.168.10.245,5001,1,16.0-17.0,42482872,339862976
20220705195409,192.168.10.231,51368,192.168.10.245,5001,1,17.0-18.0,50219536,401756288
20220705195410,192.168.10.231,51368,192.168.10.245,5001,1,18.0-19.0,54958840,439670720
20220705195411,192.168.10.231,51368,192.168.10.245,5001,1,19.0-20.0,55134048,441072384
20220705195412,192.168.10.231,51368,192.168.10.245,5001,1,20.0-21.0,60286032,482288256
20220705195413,192.168.10.231,51368,192.168.10.245,5001,1,21.0-22.0,61660184,493281472
20220705195414,192.168.10.231,51368,192.168.10.245,5001,1,22.0-23.0,61606608,492852864
20220705195415,192.168.10.231,51368,192.168.10.245,5001,1,23.0-24.0,61010032,488080256
20220705195416,192.168.10.231,51368,192.168.10.245,5001,1,24.0-25.0,60242592,481940736
20220705195417,192.168.10.231,51368,192.168.10.245,5001,1,25.0-26.0,61544344,492354752
20220705195418,192.168.10.231,51368,192.168.10.245,5001,1,26.0-27.0,61309768,490478144
20220705195419,192.168.10.231,51368,192.168.10.245,5001,1,27.0-28.0,60442416,483539328
20220705195420,192.168.10.231,51368,192.168.10.245,5001,1,28.0-29.0,60923152,487385216
20220705195421,192.168.10.231,51368,192.168.10.245,5001,1,29.0-30.0,61150488,489203904
20220705195422,192.168.10.231,51368,192.168.10.245,5001,1,30.0-31.0,59890728,479125824
20220705195423,192.168.10.231,51368,192.168.10.245,5001,1,31.0-32.0,59443296,475546368
20220705195424,192.168.10.231,51368,192.168.10.245,5001,1,32.0-33.0,61151936,489215488
20220705195425,192.168.10.231,51368,192.168.10.245,5001,1,33.0-34.0,61739824,493918592
20220705195426,192.168.10.231,51368,192.168.10.245,5001,1,34.0-35.0,62224904,497799232
20220705195427,192.168.10.231,51368,192.168.10.245,5001,1,35.0-36.0,60836272,486690176
20220705195428,192.168.10.231,51368,192.168.10.245,5001,1,36.0-37.0,59690904,477527232
20220705195429,192.168.10.231,51368,192.168.10.245,5001,1,37.0-38.0,60034080,480272640
20220705195430,192.168.10.231,51368,192.168.10.245,5001,1,38.0-39.0,59131976,473055808
20220705195431,192.168.10.231,51368,192.168.10.245,5001,1,39.0-40.0,58169056,465352448
20220705195432,192.168.10.231,51368,192.168.10.245,5001,1,40.0-41.0,61705072,493640576
20220705195433,192.168.10.231,51368,192.168.10.245,5001,1,41.0-42.0,61418368,491346944
20220705195434,192.168.10.231,51368,192.168.10.245,5001,1,42.0-43.0,60623416,484987328
20220705195435,192.168.10.231,51368,192.168.10.245,5001,1,43.0-44.0,59912448,479299584
20220705195436,192.168.10.231,51368,192.168.10.245,5001,1,44.0-45.0,58997312,471978496
20220705195437,192.168.10.231,51368,192.168.10.245,5001,1,45.0-46.0,61189584,489516672
20220705195438,192.168.10.231,51368,192.168.10.245,5001,1,46.0-47.0,60700160,485601280
20220705195439,192.168.10.231,51368,192.168.10.245,5001,1,47.0-48.0,60147024,481176192
20220705195440,192.168.10.231,51368,192.168.10.245,5001,1,48.0-49.0,61631224,493049792
20220705195441,192.168.10.231,51368,192.168.10.245,5001,1,49.0-50.0,61338728,490709824
20220705195442,192.168.10.231,51368,192.168.10.245,5001,1,50.0-51.0,58384808,467078464
20220705195443,192.168.10.231,51368,192.168.10.245,5001,1,51.0-52.0,59463568,475708544
20220705195444,192.168.10.231,51368,192.168.10.245,5001,1,52.0-53.0,61936752,495494016
20220705195445,192.168.10.231,51368,192.168.10.245,5001,1,53.0-54.0,60800072,486400576
20220705195446,192.168.10.231,51368,192.168.10.245,5001,1,54.0-55.0,57559448,460475584
20220705195447,192.168.10.231,51368,192.168.10.245,5001,1,55.0-56.0,58352952,466823616
20220705195448,192.168.10.231,51368,192.168.10.245,5001,1,56.0-57.0,60254176,482033408
20220705195449,192.168.10.231,51368,192.168.10.245,5001,1,57.0-58.0,60417800,483342400
20220705195450,192.168.10.231,51368,192.168.10.245,5001,1,58.0-59.0,57967784,463742272
20220705195451,192.168.10.231,51368,192.168.10.245,5001,1,59.0-60.0,59341936,474735488
20220705195452,192.168.10.231,51368,192.168.10.245,5001,1,60.0-61.0,59273880,474191040
20220705195453,192.168.10.231,51368,192.168.10.245,5001,1,61.0-62.0,59770544,478164352
20220705195454,192.168.10.231,51368,192.168.10.245,5001,1,62.0-63.0,60217976,481743808
20220705195455,192.168.10.231,51368,192.168.10.245,5001,1,63.0-64.0,59208720,473669760
20220705195456,192.168.10.231,51368,192.168.10.245,5001,1,64.0-65.0,61109944,488879552
20220705195457,192.168.10.231,51368,192.168.10.245,5001,1,65.0-66.0,61319904,490559232
20220705195458,192.168.10.231,51368,192.168.10.245,5001,1,66.0-67.0,59092880,472743040
20220705195459,192.168.10.231,51368,192.168.10.245,5001,1,67.0-68.0,61356104,490848832
20220705195500,192.168.10.231,51368,192.168.10.245,5001,1,68.0-69.0,60730568,485844544
20220705195501,192.168.10.231,51368,192.168.10.245,5001,1,69.0-70.0,60383048,483064384
20220705195502,192.168.10.231,51368,192.168.10.245,5001,1,70.0-71.0,58490512,467924096
20220705195503,192.168.10.231,51368,192.168.10.245,5001,1,71.0-72.0,59269536,474156288
20220705195504,192.168.10.231,51368,192.168.10.245,5001,1,72.0-73.0,61235920,489887360
20220705195505,192.168.10.231,51368,192.168.10.245,5001,1,73.0-74.0,61017272,488138176
20220705195506,192.168.10.231,51368,192.168.10.245,5001,1,74.0-75.0,60042768,480342144
20220705195507,192.168.10.231,51368,192.168.10.245,5001,1,75.0-76.0,57313288,458506304
20220705195508,192.168.10.231,51368,192.168.10.245,5001,1,76.0-77.0,61628328,493026624
20220705195509,192.168.10.231,51368,192.168.10.245,5001,1,77.0-78.0,59268088,474144704
