Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705192932,192.168.1.2,35336,192.168.1.3,5001,1,0.0-1.0,227061580,1816492640
20220705192933,192.168.1.2,35336,192.168.1.3,5001,1,1.0-2.0,239496968,1915975744
20220705192934,192.168.1.2,35336,192.168.1.3,5001,1,2.0-3.0,211915828,1695326624
20220705192935,192.168.1.2,35336,192.168.1.3,5001,1,3.0-4.0,188490244,1507921952
20220705192936,192.168.1.2,35336,192.168.1.3,5001,1,4.0-5.0,243379524,1947036192
20220705192937,192.168.1.2,35336,192.168.1.3,5001,1,5.0-6.0,241396164,1931169312
20220705192938,192.168.1.2,35336,192.168.1.3,5001,1,6.0-7.0,176400828,1411206624
20220705192939,192.168.1.2,35336,192.168.1.3,5001,1,7.0-8.0,245673168,1965385344
20220705192940,192.168.1.2,35336,192.168.1.3,5001,1,8.0-9.0,250420808,2003366464
20220705192941,192.168.1.2,35336,192.168.1.3,5001,1,9.0-10.0,237942680,1903541440
20220705192942,192.168.1.2,35336,192.168.1.3,5001,1,10.0-11.0,241622248,1932977984
20220705192943,192.168.1.2,35336,192.168.1.3,5001,1,11.0-12.0,240091008,1920728064
20220705192944,192.168.1.2,35336,192.168.1.3,5001,1,12.0-13.0,233272392,1866179136
20220705192945,192.168.1.2,35336,192.168.1.3,5001,1,13.0-14.0,228805400,1830443200
20220705192946,192.168.1.2,35336,192.168.1.3,5001,1,14.0-15.0,240007696,1920061568
20220705192947,192.168.1.2,35336,192.168.1.3,5001,1,15.0-16.0,194365448,1554923584
20220705192948,192.168.1.2,35336,192.168.1.3,5001,1,16.0-17.0,247240480,1977923840
20220705192949,192.168.1.2,35336,192.168.1.3,5001,1,17.0-18.0,247292732,1978341856
20220705192950,192.168.1.2,35336,192.168.1.3,5001,1,18.0-19.0,223649876,1789199008
20220705192951,192.168.1.2,35336,192.168.1.3,5001,1,19.0-20.0,239097792,1912782336
20220705192952,192.168.1.2,35336,192.168.1.3,5001,1,20.0-21.0,196797576,1574380608
20220705192953,192.168.1.2,35336,192.168.1.3,5001,1,21.0-22.0,220669944,1765359552
20220705192954,192.168.1.2,35336,192.168.1.3,5001,1,22.0-23.0,199246012,1593968096
20220705192955,192.168.1.2,35336,192.168.1.3,5001,1,23.0-24.0,176924980,1415399840
20220705192956,192.168.1.2,35336,192.168.1.3,5001,1,24.0-25.0,232168056,1857344448
20220705192957,192.168.1.2,35336,192.168.1.3,5001,1,25.0-26.0,200239004,1601912032
20220705192958,192.168.1.2,35336,192.168.1.3,5001,1,26.0-27.0,236696828,1893574624
20220705192959,192.168.1.2,35336,192.168.1.3,5001,1,27.0-28.0,194069596,1552556768
20220705193000,192.168.1.2,35336,192.168.1.3,5001,1,28.0-29.0,246127008,1969016064
20220705193001,192.168.1.2,35336,192.168.1.3,5001,1,29.0-30.0,248842996,1990743968
20220705193002,192.168.1.2,35336,192.168.1.3,5001,1,30.0-31.0,219770608,1758164864
20220705193003,192.168.1.2,35336,192.168.1.3,5001,1,31.0-32.0,153359320,1226874560
20220705193004,192.168.1.2,35336,192.168.1.3,5001,1,32.0-33.0,242100996,1936807968
20220705193005,192.168.1.2,35336,192.168.1.3,5001,1,33.0-34.0,243687152,1949497216
20220705193006,192.168.1.2,35336,192.168.1.3,5001,1,34.0-35.0,248932220,1991457760
20220705193007,192.168.1.2,35336,192.168.1.3,5001,1,35.0-36.0,241016124,1928128992
20220705193008,192.168.1.2,35336,192.168.1.3,5001,1,36.0-37.0,232595748,1860765984
20220705193009,192.168.1.2,35336,192.168.1.3,5001,1,37.0-38.0,224310712,1794485696
