Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706194856,192.168.1.2,56342,192.168.1.3,5001,1,0.0-1.0,160141640,1281133120
20220706194857,192.168.1.2,56342,192.168.1.3,5001,1,1.0-2.0,215604080,1724832640
20220706194858,192.168.1.2,56342,192.168.1.3,5001,1,2.0-3.0,221818688,1774549504
20220706194859,192.168.1.2,56342,192.168.1.3,5001,1,3.0-4.0,136406000,1091248000
20220706194900,192.168.1.2,56342,192.168.1.3,5001,1,4.0-5.0,186222504,1489780032
20220706194901,192.168.1.2,56342,192.168.1.3,5001,1,5.0-6.0,150890528,1207124224
20220706194902,192.168.1.2,56342,192.168.1.3,5001,1,6.0-7.0,149574792,1196598336
20220706194903,192.168.1.2,56342,192.168.1.3,5001,1,7.0-8.0,103426452,827411616
20220706194904,192.168.1.2,56342,192.168.1.3,5001,1,8.0-9.0,111664724,893317792
20220706194905,192.168.1.2,56342,192.168.1.3,5001,1,9.0-10.0,125093960,1000751680
20220706194906,192.168.1.2,56342,192.168.1.3,5001,1,10.0-11.0,93630236,749041888
20220706194907,192.168.1.2,56342,192.168.1.3,5001,1,11.0-12.0,139727624,1117820992
20220706194908,192.168.1.2,56342,192.168.1.3,5001,1,12.0-13.0,199251156,1594009248
20220706194909,192.168.1.2,56342,192.168.1.3,5001,1,13.0-14.0,227552876,1820423008
20220706194910,192.168.1.2,56342,192.168.1.3,5001,1,14.0-15.0,138487324,1107898592
20220706194911,192.168.1.2,56342,192.168.1.3,5001,1,15.0-16.0,116940744,935525952
20220706194912,192.168.1.2,56342,192.168.1.3,5001,1,16.0-17.0,129479740,1035837920
20220706194913,192.168.1.2,56342,192.168.1.3,5001,1,17.0-18.0,124651572,997212576
20220706194914,192.168.1.2,56342,192.168.1.3,5001,1,18.0-19.0,136068856,1088550848
20220706194915,192.168.1.2,56342,192.168.1.3,5001,1,19.0-20.0,189173932,1513391456
20220706194916,192.168.1.2,56342,192.168.1.3,5001,1,20.0-21.0,170005364,1360042912
20220706194917,192.168.1.2,56342,192.168.1.3,5001,1,21.0-22.0,96088088,768704704
20220706194918,192.168.1.2,56342,192.168.1.3,5001,1,22.0-23.0,144309252,1154474016
20220706194919,192.168.1.2,56342,192.168.1.3,5001,1,23.0-24.0,112498836,899990688
20220706194920,192.168.1.2,56342,192.168.1.3,5001,1,24.0-25.0,72855656,582845248
20220706194921,192.168.1.2,56342,192.168.1.3,5001,1,25.0-26.0,138574256,1108594048
20220706194922,192.168.1.2,56342,192.168.1.3,5001,1,26.0-27.0,193294104,1546352832
20220706194923,192.168.1.2,56342,192.168.1.3,5001,1,27.0-28.0,166714988,1333719904
20220706194924,192.168.1.2,56342,192.168.1.3,5001,1,28.0-29.0,165309172,1322473376
20220706194925,192.168.1.2,56342,192.168.1.3,5001,1,29.0-30.0,174752176,1398017408
20220706194926,192.168.1.2,56342,192.168.1.3,5001,1,30.0-31.0,149750792,1198006336
20220706194927,192.168.1.2,56342,192.168.1.3,5001,1,31.0-32.0,97329980,778639840
20220706194928,192.168.1.2,56342,192.168.1.3,5001,1,32.0-33.0,80333256,642666048
20220706194929,192.168.1.2,56342,192.168.1.3,5001,1,33.0-34.0,87660448,701283584
20220706194930,192.168.1.2,56342,192.168.1.3,5001,1,34.0-35.0,150651492,1205211936
20220706194931,192.168.1.2,56342,192.168.1.3,5001,1,35.0-36.0,87668904,701351232
20220706194932,192.168.1.2,56342,192.168.1.3,5001,1,36.0-37.0,103979956,831839648
20220706194933,192.168.1.2,56342,192.168.1.3,5001,1,37.0-38.0,87880596,703044768
