Throughput, wifiratio, wigiratio
1032.0,30.9,69.1
1451.1,10.3,89.7
1435.4,42.4,57.6
722.1,41.9,58.1
1080.8,36.4,63.6
783.7,51.6,48.4
1631.8,48.3,51.7
930.0,72.0,28.0
791.6,84.3,15.7
670.6,79.4,20.6
527.2,100.0,0.0
624.6,52.4,47.6
877.0,82.4,17.6
758.3,7.2,92.8
901.4,100.0,0.0
618.9,100.0,0.0
560.9,91.5,8.5
762.3,11.5,88.5
1327.9,16.9,83.1
1351.7,29.0,71.0
849.1,44.9,55.1
1055.3,31.6,68.4
1675.8,21.1,78.9
1306.3,49.9,50.1
726.2,48.0,52.0
995.3,32.7,67.3
949.3,41.8,58.2
957.6,58.3,41.7
980.6,67.2,32.8
723.3,64.3,35.7
822.5,69.6,30.4
782.5,100.0,0.0
1060.0,34.5,65.5
1607.8,55.3,44.7
819.1,39.5,60.5
936.7,42.6,57.4
1106.1,47.6,52.4
944.4,49.0,51.0
1050.7,41.7,58.3
1071.6,50.0,50.0
629.7,100.0,0.0
888.0,47.5,52.5
1032.2,63.3,36.7
986.6,38.2,61.8
944.9,62.2,37.8
859.8,22.7,77.3
1172.1,51.5,48.5
1125.5,93.2,6.8
940.9,67.8,32.2
925.1,0.0,100.0
1022.8,44.1,55.9
865.0,42.8,57.2
1044.3,44.3,55.7
1082.8,61.1,38.9
956.1,55.1,44.9
985.0,61.8,38.2
937.2,51.9,48.1
1043.4,35.9,64.1
1021.2,50.0,50.0
905.9,63.1,36.9
1030.3,72.0,28.0
1043.4,77.5,22.5
1231.2,36.1,63.9
923.6,58.6,41.4
988.6,61.8,38.2
1063.2,45.4,54.6
901.5,56.5,43.5
837.6,10.2,89.8
976.4,42.9,57.1
962.9,45.6,54.4
934.2,48.9,51.1
960.2,48.9,51.1
1086.3,26.3,73.7
1097.8,100.0,0.0
1048.0,20.4,79.6
995.5,51.0,49.0
1301.9,19.9,80.1
1575.9,29.2,70.8
1549.6,26.6,73.4
1117.4,44.2,55.8
1126.1,3.4,96.6
1556.4,34.5,65.5
1595.5,25.3,74.7
1108.8,45.6,54.4
1175.1,36.3,63.7
1656.9,28.6,71.4
1642.9,32.8,67.2
1412.7,51.6,48.4
1362.5,30.0,70.0
1614.8,36.1,63.9
1602.4,36.6,63.4
1172.0,32.1,67.9
1058.9,34.2,65.8
1184.6,67.5,32.5
1169.0,51.6,48.4
994.5,38.1,61.9
1345.1,30.8,69.2
1573.3,52.9,47.1
1151.3,0.0,100.0
1058.5,50.8,49.2
935.8,0.0,100.0
880.4,41.1,58.9
1037.4,47.3,52.7
1019.1,47.0,53.0
950.0,44.6,55.4
897.5,40.0,60.0
1168.6,42.6,57.4
1450.3,27.6,72.4
