Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706192259,192.168.1.2,39804,192.168.1.3,5001,1,0.0-1.0,178569524,1428556192
20220706192300,192.168.1.2,39804,192.168.1.3,5001,1,1.0-2.0,182303200,1458425600
20220706192301,192.168.1.2,39804,192.168.1.3,5001,1,2.0-3.0,150597792,1204782336
20220706192302,192.168.1.2,39804,192.168.1.3,5001,1,3.0-4.0,132951016,1063608128
20220706192303,192.168.1.2,39804,192.168.1.3,5001,1,4.0-5.0,86670040,693360320
20220706192304,192.168.1.2,39804,192.168.1.3,5001,1,5.0-6.0,68306504,546452032
20220706192305,192.168.1.2,39804,192.168.1.3,5001,1,6.0-7.0,5419864,43358912
20220706192306,192.168.1.2,39804,192.168.1.3,5001,1,7.0-8.0,729792,5838336
20220706192307,192.168.1.2,39804,192.168.1.3,5001,1,8.0-9.0,0,0
20220706192308,192.168.1.2,39804,192.168.1.3,5001,1,9.0-10.0,215752,1726016
20220706192309,192.168.1.2,39804,192.168.1.3,5001,1,10.0-11.0,186792,1494336
20220706192310,192.168.1.2,39804,192.168.1.3,5001,1,11.0-12.0,5243208,41945664
20220706192311,192.168.1.2,39804,192.168.1.3,5001,1,12.0-13.0,73904472,591235776
20220706192312,192.168.1.2,39804,192.168.1.3,5001,1,13.0-14.0,88740680,709925440
20220706192313,192.168.1.2,39804,192.168.1.3,5001,1,14.0-15.0,93225136,745801088
20220706192314,192.168.1.2,39804,192.168.1.3,5001,1,15.0-16.0,116889800,935118400
20220706192315,192.168.1.2,39804,192.168.1.3,5001,1,16.0-17.0,88737784,709902272
20220706192316,192.168.1.2,39804,192.168.1.3,5001,1,17.0-18.0,74890560,599124480
20220706192317,192.168.1.2,39804,192.168.1.3,5001,1,18.0-19.0,109804736,878437888
20220706192318,192.168.1.2,39804,192.168.1.3,5001,1,19.0-20.0,92085560,736684480
20220706192319,192.168.1.2,39804,192.168.1.3,5001,1,20.0-21.0,69191232,553529856
20220706192320,192.168.1.2,39804,192.168.1.3,5001,1,21.0-22.0,64669128,517353024
20220706192321,192.168.1.2,39804,192.168.1.3,5001,1,22.0-23.0,104567320,836538560
20220706192322,192.168.1.2,39804,192.168.1.3,5001,1,23.0-24.0,93057168,744457344
20220706192323,192.168.1.2,39804,192.168.1.3,5001,1,24.0-25.0,108843264,870746112
20220706192324,192.168.1.2,39804,192.168.1.3,5001,1,25.0-26.0,121613176,972905408
20220706192325,192.168.1.2,39804,192.168.1.3,5001,1,26.0-27.0,81053248,648425984
20220706192326,192.168.1.2,39804,192.168.1.3,5001,1,27.0-28.0,75847688,606781504
20220706192327,192.168.1.2,39804,192.168.1.3,5001,1,28.0-29.0,75488584,603908672
20220706192328,192.168.1.2,39804,192.168.1.3,5001,1,29.0-30.0,75335096,602680768
20220706192329,192.168.1.2,39804,192.168.1.3,5001,1,30.0-31.0,113058392,904467136
20220706192330,192.168.1.2,39804,192.168.1.3,5001,1,31.0-32.0,98542192,788337536
20220706192331,192.168.1.2,39804,192.168.1.3,5001,1,32.0-33.0,106226728,849813824
20220706192332,192.168.1.2,39804,192.168.1.3,5001,1,33.0-34.0,95428992,763431936
20220706192333,192.168.1.2,39804,192.168.1.3,5001,1,34.0-35.0,97257816,778062528
20220706192334,192.168.1.2,39804,192.168.1.3,5001,1,35.0-36.0,111147032,889176256
20220706192335,192.168.1.2,39804,192.168.1.3,5001,1,36.0-37.0,137536832,1100294656
20220706192336,192.168.1.2,39804,192.168.1.3,5001,1,37.0-38.0,96303584,770428672
20220706192337,192.168.1.2,39804,192.168.1.3,5001,1,38.0-39.0,108133744,865069952
20220706192338,192.168.1.2,39804,192.168.1.3,5001,1,39.0-40.0,108075824,864606592
20220706192339,192.168.1.2,39804,192.168.1.3,5001,1,40.0-41.0,99589096,796712768
20220706192340,192.168.1.2,39804,192.168.1.3,5001,1,41.0-42.0,76051856,608414848
20220706192341,192.168.1.2,39804,192.168.1.3,5001,1,42.0-43.0,87375216,699001728
20220706192342,192.168.1.2,39804,192.168.1.3,5001,1,43.0-44.0,89664504,717316032
20220706192343,192.168.1.2,39804,192.168.1.3,5001,1,44.0-45.0,69259288,554074304
