Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706193511,192.168.1.2,59310,192.168.1.3,5001,1,0.0-1.0,212029668,1696237344
20220706193512,192.168.1.2,59310,192.168.1.3,5001,1,1.0-2.0,227833828,1822670624
20220706193513,192.168.1.2,59310,192.168.1.3,5001,1,2.0-3.0,137983708,1103869664
20220706193514,192.168.1.2,59310,192.168.1.3,5001,1,3.0-4.0,137542304,1100338432
20220706193515,192.168.1.2,59310,192.168.1.3,5001,1,4.0-5.0,110611020,884888160
20220706193516,192.168.1.2,59310,192.168.1.3,5001,1,5.0-6.0,123983212,991865696
20220706193517,192.168.1.2,59310,192.168.1.3,5001,1,6.0-7.0,118831732,950653856
20220706193518,192.168.1.2,59310,192.168.1.3,5001,1,7.0-8.0,82471512,659772096
20220706193519,192.168.1.2,59310,192.168.1.3,5001,1,8.0-9.0,120764432,966115456
20220706193520,192.168.1.2,59310,192.168.1.3,5001,1,9.0-10.0,79936464,639491712
20220706193521,192.168.1.2,59310,192.168.1.3,5001,1,10.0-11.0,38707376,309659008
20220706193522,192.168.1.2,59310,192.168.1.3,5001,1,11.0-12.0,43166680,345333440
20220706193523,192.168.1.2,59310,192.168.1.3,5001,1,12.0-13.0,67728980,541831840
20220706193524,192.168.1.2,59310,192.168.1.3,5001,1,13.0-14.0,75562704,604501632
20220706193525,192.168.1.2,59310,192.168.1.3,5001,1,14.0-15.0,139020544,1112164352
20220706193526,192.168.1.2,59310,192.168.1.3,5001,1,15.0-16.0,155403952,1243231616
20220706193527,192.168.1.2,59310,192.168.1.3,5001,1,16.0-17.0,160147600,1281180800
20220706193528,192.168.1.2,59310,192.168.1.3,5001,1,17.0-18.0,112962324,903698592
20220706193529,192.168.1.2,59310,192.168.1.3,5001,1,18.0-19.0,211429332,1691434656
20220706193530,192.168.1.2,59310,192.168.1.3,5001,1,19.0-20.0,198201740,1585613920
20220706193531,192.168.1.2,59310,192.168.1.3,5001,1,20.0-21.0,153465596,1227724768
20220706193532,192.168.1.2,59310,192.168.1.3,5001,1,21.0-22.0,163608460,1308867680
20220706193533,192.168.1.2,59310,192.168.1.3,5001,1,22.0-23.0,131662836,1053302688
20220706193534,192.168.1.2,59310,192.168.1.3,5001,1,23.0-24.0,186487012,1491896096
20220706193535,192.168.1.2,59310,192.168.1.3,5001,1,24.0-25.0,236434692,1891477536
20220706193536,192.168.1.2,59310,192.168.1.3,5001,1,25.0-26.0,206792180,1654337440
20220706193537,192.168.1.2,59310,192.168.1.3,5001,1,26.0-27.0,231009140,1848073120
20220706193538,192.168.1.2,59310,192.168.1.3,5001,1,27.0-28.0,233880248,1871041984
20220706193539,192.168.1.2,59310,192.168.1.3,5001,1,28.0-29.0,199059024,1592472192
20220706193540,192.168.1.2,59310,192.168.1.3,5001,1,29.0-30.0,223836948,1790695584
20220706193541,192.168.1.2,59310,192.168.1.3,5001,1,30.0-31.0,146448512,1171588096
20220706193542,192.168.1.2,59310,192.168.1.3,5001,1,31.0-32.0,226571568,1812572544
20220706193543,192.168.1.2,59310,192.168.1.3,5001,1,32.0-33.0,239053404,1912427232
20220706193544,192.168.1.2,59310,192.168.1.3,5001,1,33.0-34.0,254636316,2037090528
20220706193545,192.168.1.2,59310,192.168.1.3,5001,1,34.0-35.0,229866936,1838935488
20220706193546,192.168.1.2,59310,192.168.1.3,5001,1,35.0-36.0,248511880,1988095040
20220706193547,192.168.1.2,59310,192.168.1.3,5001,1,36.0-37.0,237366884,1898935072
20220706193548,192.168.1.2,59310,192.168.1.3,5001,1,37.0-38.0,193079716,1544637728
20220706193549,192.168.1.2,59310,192.168.1.3,5001,1,38.0-39.0,228013528,1824108224
20220706193550,192.168.1.2,59310,192.168.1.3,5001,1,39.0-40.0,218342728,1746741824
20220706193551,192.168.1.2,59310,192.168.1.3,5001,1,40.0-41.0,214633128,1717065024
20220706193552,192.168.1.2,59310,192.168.1.3,5001,1,41.0-42.0,191670320,1533362560
20220706193553,192.168.1.2,59310,192.168.1.3,5001,1,42.0-43.0,164594760,1316758080
20220706193554,192.168.1.2,59310,192.168.1.3,5001,1,43.0-44.0,87288532,698308256
20220706193555,192.168.1.2,59310,192.168.1.3,5001,1,44.0-45.0,200567428,1604539424
20220706193556,192.168.1.2,59310,192.168.1.3,5001,1,45.0-46.0,226830712,1814645696
20220706193557,192.168.1.2,59310,192.168.1.3,5001,1,46.0-47.0,199575572,1596604576
20220706193558,192.168.1.2,59310,192.168.1.3,5001,1,47.0-48.0,239308616,1914468928
20220706193559,192.168.1.2,59310,192.168.1.3,5001,1,48.0-49.0,158767556,1270140448
20220706193600,192.168.1.2,59310,192.168.1.3,5001,1,49.0-50.0,202725620,1621804960
20220706193601,192.168.1.2,59310,192.168.1.3,5001,1,50.0-51.0,231274672,1850197376
20220706193602,192.168.1.2,59310,192.168.1.3,5001,1,51.0-52.0,139234408,1113875264
20220706193603,192.168.1.2,59310,192.168.1.3,5001,1,52.0-53.0,116486548,931892384
20220706193604,192.168.1.2,59310,192.168.1.3,5001,1,53.0-54.0,168018860,1344150880
20220706193605,192.168.1.2,59310,192.168.1.3,5001,1,54.0-55.0,202801572,1622412576
20220706193606,192.168.1.2,59310,192.168.1.3,5001,1,55.0-56.0,197686372,1581490976
20220706193607,192.168.1.2,59310,192.168.1.3,5001,1,56.0-57.0,181432212,1451457696
20220706193608,192.168.1.2,59310,192.168.1.3,5001,1,57.0-58.0,179213900,1433711200
20220706193609,192.168.1.2,59310,192.168.1.3,5001,1,58.0-59.0,177512436,1420099488
20220706193610,192.168.1.2,59310,192.168.1.3,5001,1,59.0-60.0,183192128,1465537024
20220706193611,192.168.1.2,59310,192.168.1.3,5001,1,60.0-61.0,120403592,963228736
20220706193612,192.168.1.2,59310,192.168.1.3,5001,1,61.0-62.0,139696044,1117568352
20220706193613,192.168.1.2,59310,192.168.1.3,5001,1,62.0-63.0,165455252,1323642016
20220706193614,192.168.1.2,59310,192.168.1.3,5001,1,63.0-64.0,163670800,1309366400
20220706193615,192.168.1.2,59310,192.168.1.3,5001,1,64.0-65.0,115726356,925810848
20220706193616,192.168.1.2,59310,192.168.1.3,5001,1,65.0-66.0,128333604,1026668832
20220706193617,192.168.1.2,59310,192.168.1.3,5001,1,66.0-67.0,140817216,1126537728
20220706193618,192.168.1.2,59310,192.168.1.3,5001,1,67.0-68.0,186724080,1493792640
20220706193619,192.168.1.2,59310,192.168.1.3,5001,1,68.0-69.0,147123704,1176989632
20220706193620,192.168.1.2,59310,192.168.1.3,5001,1,69.0-70.0,99390316,795122528
20220706193621,192.168.1.2,59310,192.168.1.3,5001,1,70.0-71.0,112076072,896608576
20220706193622,192.168.1.2,59310,192.168.1.3,5001,1,71.0-72.0,163469640,1307757120
20220706193623,192.168.1.2,59310,192.168.1.3,5001,1,72.0-73.0,200310748,1602485984
20220706193624,192.168.1.2,59310,192.168.1.3,5001,1,73.0-74.0,170883708,1367069664
20220706193625,192.168.1.2,59310,192.168.1.3,5001,1,74.0-75.0,218269044,1746152352
20220706193626,192.168.1.2,59310,192.168.1.3,5001,1,75.0-76.0,184111452,1472891616
20220706193627,192.168.1.2,59310,192.168.1.3,5001,1,76.0-77.0,176350300,1410802400
20220706193628,192.168.1.2,59310,192.168.1.3,5001,1,77.0-78.0,177122856,1416982848
20220706193629,192.168.1.2,59310,192.168.1.3,5001,1,78.0-79.0,206300476,1650403808
20220706193630,192.168.1.2,59310,192.168.1.3,5001,1,79.0-80.0,238821232,1910569856
