Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706190258,192.168.1.2,39634,192.168.1.3,5001,1,0.0-1.0,219973768,1759790144
20220706190259,192.168.1.2,39634,192.168.1.3,5001,1,1.0-2.0,145764904,1166119232
20220706190300,192.168.1.2,39634,192.168.1.3,5001,1,2.0-3.0,230388908,1843111264
20220706190301,192.168.1.2,39634,192.168.1.3,5001,1,3.0-4.0,209495912,1675967296
20220706190302,192.168.1.2,39634,192.168.1.3,5001,1,4.0-5.0,123693408,989547264
20220706190303,192.168.1.2,39634,192.168.1.3,5001,1,5.0-6.0,187270300,1498162400
20220706190304,192.168.1.2,39634,192.168.1.3,5001,1,6.0-7.0,101228372,809826976
20220706190305,192.168.1.2,39634,192.168.1.3,5001,1,7.0-8.0,141841592,1134732736
20220706190306,192.168.1.2,39634,192.168.1.3,5001,1,8.0-9.0,120704836,965638688
20220706190307,192.168.1.2,39634,192.168.1.3,5001,1,9.0-10.0,150978392,1207827136
20220706190308,192.168.1.2,39634,192.168.1.3,5001,1,10.0-11.0,115156084,921248672
20220706190309,192.168.1.2,39634,192.168.1.3,5001,1,11.0-12.0,66712436,533699488
20220706190310,192.168.1.2,39634,192.168.1.3,5001,1,12.0-13.0,101601700,812813600
20220706190311,192.168.1.2,39634,192.168.1.3,5001,1,13.0-14.0,171149992,1369199936
20220706190312,192.168.1.2,39634,192.168.1.3,5001,1,14.0-15.0,172978604,1383828832
20220706190313,192.168.1.2,39634,192.168.1.3,5001,1,15.0-16.0,127131208,1017049664
20220706190314,192.168.1.2,39634,192.168.1.3,5001,1,16.0-17.0,156833192,1254665536
20220706190315,192.168.1.2,39634,192.168.1.3,5001,1,17.0-18.0,48773380,390187040
20220706190316,192.168.1.2,39634,192.168.1.3,5001,1,18.0-19.0,53393092,427144736
20220706190317,192.168.1.2,39634,192.168.1.3,5001,1,19.0-20.0,125421264,1003370112
20220706190318,192.168.1.2,39634,192.168.1.3,5001,1,20.0-21.0,79704896,637639168
20220706190319,192.168.1.2,39634,192.168.1.3,5001,1,21.0-22.0,54321424,434571392
20220706190320,192.168.1.2,39634,192.168.1.3,5001,1,22.0-23.0,58483972,467871776
20220706190321,192.168.1.2,39634,192.168.1.3,5001,1,23.0-24.0,115907548,927260384
20220706190322,192.168.1.2,39634,192.168.1.3,5001,1,24.0-25.0,128834360,1030674880
20220706190323,192.168.1.2,39634,192.168.1.3,5001,1,25.0-26.0,153450016,1227600128
20220706190324,192.168.1.2,39634,192.168.1.3,5001,1,26.0-27.0,134329440,1074635520
20220706190325,192.168.1.2,39634,192.168.1.3,5001,1,27.0-28.0,125665140,1005321120
20220706190326,192.168.1.2,39634,192.168.1.3,5001,1,28.0-29.0,132626392,1061011136
20220706190327,192.168.1.2,39634,192.168.1.3,5001,1,29.0-30.0,154403256,1235226048
20220706190328,192.168.1.2,39634,192.168.1.3,5001,1,30.0-31.0,157155212,1257241696
20220706190329,192.168.1.2,39634,192.168.1.3,5001,1,31.0-32.0,140407308,1123258464
20220706190330,192.168.1.2,39634,192.168.1.3,5001,1,32.0-33.0,136552352,1092418816
20220706190331,192.168.1.2,39634,192.168.1.3,5001,1,33.0-34.0,159696904,1277575232
20220706190332,192.168.1.2,39634,192.168.1.3,5001,1,34.0-35.0,151188804,1209510432
20220706190333,192.168.1.2,39634,192.168.1.3,5001,1,35.0-36.0,135567460,1084539680
20220706190334,192.168.1.2,39634,192.168.1.3,5001,1,36.0-37.0,134433340,1075466720
20220706190335,192.168.1.2,39634,192.168.1.3,5001,1,37.0-38.0,127057792,1016462336
20220706190336,192.168.1.2,39634,192.168.1.3,5001,1,38.0-39.0,131153616,1049228928
20220706190337,192.168.1.2,39634,192.168.1.3,5001,1,39.0-40.0,129374336,1034994688
20220706190338,192.168.1.2,39634,192.168.1.3,5001,1,40.0-41.0,119807600,958460800
